"","csv_file","row_number","fname","harvest_moisture_pct","harvest_date","Hybrid","oil_pct","height_in","plants_per_acre","planting_date","seed_size_14_64_to_below","seed_size_19_64_to 16_64","seed_size_21_64_to 20_64","seed_size_23_64_to 22_64","seed_size_above_24_64","test_weight_lbs_bushel","yield_lb_acre","seed_size_14_64_and_below_pct","seed_size_19_64_to_16_64_pct","seed_size_21_64_to_20_64_pct","seed_size_23_64_to_22_64_pct","seed_size_above_24_64_pct","Brand","flower_50pct_days_past_planting","mature_days_past_planting","Days to PM Original","drop_neck","head_diameter_in","lodge_pct","mature_code","oleic_pct","qc_notes","total_weight","type","phomopsis_pct","sclerotinia_pct","seed_wt_200_gm","bird_damage_pct","hulling_quality_test","linoleic_pct","midge","palmitic_pct","stalk_rot_pct","stearic_pct","hybrid_type","trait","downey_mildew","stalk_rot","HT","LGC","midge_at_flowering","midge_at_maturity","lodge_root","lodge_root_score","TW","seed_wt_200","herb_type","oil_type","seed_wt_100","vigor","flower_first_days_past_planting","flower_50pct_days_past_june_1","harvest_population","population","stem_break","Location","seed_weight","test_weight","Year","seed_size_16_64_and_below","seed_size_21_64_to 20_64_pct","seed_size_16_64_and_below_pct","seed_size_above_16_64_pct","seed_size_above_19_64_pct","seed_size_above_20_64_pct","seed_size_above_21_64_pct","seed_size_above_22_64_pct","seed_size_above_23_64_pct","yield_lb_acre_2yr_avg","herb_tech_trait","seed_screen_16_64_pct","seed_screen_20_64_pct","seed_screen_22_64_pct","seed_screen_24_64_pct","yield_lb_acre_3yr_avg","tech_traits","yield_lb_acre_2008","seed_wt_1000_gm","seed_size_18_64_pct","damage_assert_2_pct","damage_assert_3_pct","stalk_break_pct","HR_pct","leaf_rust_pct","rust_lower_plant_pct","rust_mid_plant_pct","neck_break_pct","neck_drop_pct","nut_meat_pct","lodge_rate_0_9_scale","plants_per_thousandth_acre","seed_size_above_18_64_pct","seed_size_20_64_pct","seed_length_mm","seed_width_mm","yield_lb_acre_2007","oil_yield_lb_acre","seeds_per_lb","SR%","test_weight_gm","rust_upper_plant_pct","vert_pct","midge_pct","midge_severity_0_9_scale","rust_pct","seed_size_22_64_pct","yield_lb_acre_2010","bud_burn_pct","lodge_rate_1_9_scale","yield_lb_acre_2012","phomopsis_0_4_scale","lodge_rate_0_5_scale","hybrid_traits","lodge_root_pct","lodge_stalk_pct","seed_size_19_64_to 16_64_pct","seed_size_23_64_to 22_64_pct","block","Brand/Hybrid","entry","height_cm","plot","seed_yield_lbs_acre","v_desc","herb","notes","flower_50pct_date","mature_date","flower_50pct_days_past_july_1","plants_broken","plants_lodged","rust","sterile_heads","vert_wilt","stem_break_pct","flower_50pct_days_past_emergence","head_moisture","stem_curve","white_mold_pct","Damage","seed_size","lodge_stalk","stalk_break","lodge_score","head_days_past_planting","rust_rating","no_plants_lodged","lodge_number_of_plants","flower_100pct_days_past_planting","final_population_plants_per_thousandth_acre","final_population_plants_per_acre","neck_break","oil_yield","self_poll_pct","yield_as_pct_of_yr_avg","mature_days_past_june_1","self_poll","gross_income","oil_content","oil_content_lb_acre","final_population_plants_per_thousandth_of_an_acre","yield_rank","rank","final_stand_pct","year_entered_with_data","nusun","late","short","Sort ID","Unif_Brand","Unif_Hybrid","leanne_yield","leanne_oil","Unif_Name","flower_50_doy","var"
"1","1997-2006 Carrington_app_final_qc.csv",1,"1997",8.4,19970930,"AP2098",46.4,57,NA,19970529,NA,NA,NA,NA,NA,29,2542,NA,NA,NA,NA,NA,"Agri Pro",62,NA,NA,0,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6428,"AgriPro","2098",2542,2542,NA,211,NA
"2","1997-2006 Carrington_app_final_qc.csv",2,"1997",9.9,19970930,"AP3470",46.5,62,NA,19970529,NA,NA,NA,NA,NA,28.5,2179,NA,NA,NA,NA,NA,"Agri Pro",63,NA,NA,0,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6429,"AgriPro","3470",2179,2179,NA,212,NA
"3","1997-2006 Carrington_app_final_qc.csv",3,"1997",11,19970930,"AK7304",47.1,56,NA,19970529,NA,NA,NA,NA,NA,30.3,2510,NA,NA,NA,NA,NA,"Asgrow",65,NA,NA,0,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6430,"Asgrow","AK 7304",2510,2510,NA,214,NA
"4","1997-2006 Carrington_app_final_qc.csv",4,"1997",10,19970930,"AK7305",46.6,60,NA,19970529,NA,NA,NA,NA,NA,29,2225,NA,NA,NA,NA,NA,"Asgrow",68,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6431,"Asgrow","AK 7305",2225,2225,NA,217,NA
"5","1997-2006 Carrington_app_final_qc.csv",5,"1997",10.3,19970930,"AK7306",44.1,58,NA,19970529,NA,NA,NA,NA,NA,28.8,2208,NA,NA,NA,NA,NA,"Asgrow",64,NA,NA,7,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6432,"Asgrow","AK 7306",2208,2208,NA,213,NA
"6","1997-2006 Carrington_app_final_qc.csv",6,"1997",9.7,19970930,"AK7311",44.7,58,NA,19970529,NA,NA,NA,NA,NA,27.7,2326,NA,NA,NA,NA,NA,"Asgrow",66,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6433,"Asgrow","AK 7311",2326,2326,NA,215,NA
"7","1997-2006 Carrington_app_final_qc.csv",7,"1997",9.7,19970930,"AS3211",45.4,66,NA,19970529,NA,NA,NA,NA,NA,30.3,2319,NA,NA,NA,NA,NA,"Asgrow",60,NA,NA,0,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6434,"Asgrow","AS 3211",2319,2319,NA,209,NA
"8","1997-2006 Carrington_app_final_qc.csv",8,"1997",8.1,19970930,"AS471",46.6,60,NA,19970529,NA,NA,NA,NA,NA,31.3,2224,NA,NA,NA,NA,NA,"Asgrow",59,NA,NA,2,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6435,"Asgrow","AS 471",2224,2224,NA,208,NA
"9","1997-2006 Carrington_app_final_qc.csv",9,"1997",9.5,19970930,"AS5101",48.6,60,NA,19970529,NA,NA,NA,NA,NA,30.5,2253,NA,NA,NA,NA,NA,"Asgrow",60,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6436,"Asgrow","AS 5101",2253,2253,NA,209,NA
"10","1997-2006 Carrington_app_final_qc.csv",10,"1997",9.9,19970930,"AS5202",46.8,54,NA,19970529,NA,NA,NA,NA,NA,29,2246,NA,NA,NA,NA,NA,"Asgrow",60,NA,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carrington",NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6437,"Asgrow","AS 5202",2246,2246,NA,209,NA
