"harvest_date","harvest_moisture_pct","height_in","yield_lb_acre","year","hybrid","emergence_date","planting_date"
1997-09-30,8.4,57,2542,1997,"AP2098",1997-05-31,1997-05-29
1997-09-30,9.9,62,2179,1997,"AP3470",NA,1997-05-29
1997-09-30,11,56,2510,1997,"AK7304",NA,1997-05-29
1997-09-30,10,60,2225,1997,"AK7305",NA,1997-05-29
1997-09-30,10.3,58,2208,1997,"AK7306",1997-05-30,1997-05-29
1997-09-30,9.7,58,2326,1997,"AK7311",1997-05-31,1997-05-29
1997-09-30,9.7,66,2319,1997,"AS3211",1997-05-31,1997-05-29
1997-09-30,8.1,60,2224,1997,"AS471",NA,1997-05-29
1997-09-30,9.5,60,2253,1997,"AS5101",NA,1997-05-29
1997-09-30,9.9,54,2246,1997,"AS5202",NA,1997-05-29
1997-09-30,10.1,54,2378,1997,"AS5303",NA,1997-05-29
1997-09-30,11.6,62,2181,1997,"AS6305",1997-05-30,1997-05-29
1997-09-30,10,54,2203,1997,"ELISOL",1997-05-31,1997-05-29
1997-09-30,9.2,56,2322,1997,"SF128",NA,1997-05-29
1997-09-30,13,48,2810,1997,"SF187",NA,1997-05-29
1997-09-30,9.9,51,2263,1997,"AF270",1997-05-31,1997-05-29
1997-09-30,15.1,57,2345,1997,"X1221",NA,1997-05-29
1997-09-30,8.9,41,2291,1997,"X3210",NA,1997-05-29
1997-09-30,10.1,51,2598,1997,"X3272",NA,1997-05-29
1997-09-30,15.3,52,2450,1997,"X6005",NA,1997-05-29
1997-09-30,9.6,57,2282,1997,"X6007",1997-05-30,1997-05-29
1997-09-30,9.1,57,2495,1997,"XRIGASOL",1997-05-31,1997-05-29
1997-09-30,9.3,65,2116,1997,"253",NA,1997-05-29
1997-09-30,9.4,50,2409,1997,"745",NA,1997-05-29
1997-09-30,9.6,56,2152,1997,"757",NA,1997-05-29
1997-09-30,8.6,49,2643,1997,"803",NA,1997-05-29
1997-09-30,11.5,56,2092,1997,"810",1997-05-31,1997-05-29
1997-09-30,13,63,1990,1997,"815",NA,1997-05-29
1997-09-30,10.5,54,1903,1997,"821",NA,1997-05-29
1997-09-30,7.6,55,1870,1997,"DK3790",NA,1997-05-29
1997-09-30,9.9,55,2317,1997,"DK3868",NA,1997-05-29
1997-09-30,11.5,57,2604,1997,"DK3875",NA,1997-05-29
1997-09-30,8.3,59,2307,1997,"EXP6861",NA,1997-05-29
1997-09-30,9.1,61,2238,1997,"EXP7793",NA,1997-05-29
1997-09-30,9,52,2199,1997,"EXP7806",NA,1997-05-29
1997-09-30,10.3,56,2206,1997,"ST2102",NA,1997-05-29
1997-09-30,11.2,53,2628,1997,"ST2103",NA,1997-05-29
1997-09-30,9.7,55,2415,1997,"ST2109",NA,1997-05-29
1997-09-30,9.7,57,2514,1997,"ST2115",NA,1997-05-29
1997-09-30,9.5,NA,2381,1997,"ST2117",NA,1997-05-29
1997-09-30,9.4,60,2117,1997,"PANX9701",NA,1997-05-29
1997-09-30,9.8,60,2559,1997,"PANX9702",NA,1997-05-29
1997-09-30,10,63,2312,1997,"IS3137",NA,1997-05-29
1997-09-30,11.2,50,2213,1997,"IS5077",1997-05-31,1997-05-29
1997-09-30,8.7,58,2502,1997,"IS5757",NA,1997-05-29
1997-09-30,10.6,65,2787,1997,"IS6077",NA,1997-05-29
1997-09-30,9,43,2476,1997,"IS6111",NA,1997-05-29
1997-09-30,10.5,57,2366,1997,"IS6767",NA,1997-05-29
1997-09-30,9.5,56,2219,1997,"ISEXP54475",NA,1997-05-29
1997-09-30,10.4,51,2247,1997,"ISEXP21840",NA,1997-05-29
1997-09-30,9.2,62,2100,1997,"ISEXP33204",NA,1997-05-29
1997-09-30,9.1,50,2197,1997,"INT 425",NA,1997-05-29
